Loja;MEM;Mega
259;1949640;1903,945313
136;1949660;1903,964844
199;1949660;1903,964844
4;1950112;1904,40625
115;1950112;1904,40625
86;1952536;1906,773438
65;1952548;1906,785156
309;1952664;1906,898438
6;1952668;1906,902344
87;1952668;1906,902344
100;1952668;1906,902344
130;1952668;1906,902344
159;1952668;1906,902344
235;1952668;1906,902344
235;1952668;1906,902344
260;1952668;1906,902344
261;1952668;1906,902344
261;1952668;1906,902344
261;1952668;1906,902344
261;1952668;1906,902344
279;1952668;1906,902344
299;1952668;1906,902344
299;1952668;1906,902344
301;1952668;1906,902344
301;1952668;1906,902344
307;1952668;1906,902344
307;1952668;1906,902344
307;1952668;1906,902344
307;1952668;1906,902344
307;1952668;1906,902344
308;1952668;1906,902344
308;1952668;1906,902344
308;1952668;1906,902344
308;1952668;1906,902344
308;1952668;1906,902344
308;1952668;1906,902344
308;1952668;1906,902344
309;1952668;1906,902344
309;1952668;1906,902344
309;1952668;1906,902344
309;1952668;1906,902344
309;1952668;1906,902344
309;1952668;1906,902344
312;1952668;1906,902344
312;1952668;1906,902344
312;1952668;1906,902344
312;1952668;1906,902344
312;1952668;1906,902344
312;1952668;1906,902344
323;1952668;1906,902344
333;1952668;1906,902344
333;1952668;1906,902344
401;1952668;1906,902344
401;1952668;1906,902344
403;1952668;1906,902344
403;1952668;1906,902344
403;1952668;1906,902344
83;1952672;1906,90625
2;1952676;1906,910156
22;1952676;1906,910156
45;1952676;1906,910156
268;1952676;1906,910156
270;1952676;1906,910156
270;1952676;1906,910156
273;1952676;1906,910156
273;1952676;1906,910156
273;1952676;1906,910156
275;1952676;1906,910156
283;1952676;1906,910156
283;1952676;1906,910156
283;1952676;1906,910156
283;1952676;1906,910156
288;1952676;1906,910156
288;1952676;1906,910156
292;1952676;1906,910156
295;1952676;1906,910156
297;1952676;1906,910156
297;1952676;1906,910156
300;1952676;1906,910156
315;1952676;1906,910156
318;1952676;1906,910156
318;1952676;1906,910156
318;1952676;1906,910156
1;1952680;1906,914063
1;1952680;1906,914063
1;1952680;1906,914063
2;1952680;1906,914063
2;1952680;1906,914063
3;1952680;1906,914063
3;1952680;1906,914063
4;1952680;1906,914063
5;1952680;1906,914063
6;1952680;1906,914063
8;1952680;1906,914063
9;1952680;1906,914063
11;1952680;1906,914063
11;1952680;1906,914063
11;1952680;1906,914063
22;1952680;1906,914063
25;1952680;1906,914063
27;1952680;1906,914063
28;1952680;1906,914063
29;1952680;1906,914063
35;1952680;1906,914063
37;1952680;1906,914063
37;1952680;1906,914063
38;1952680;1906,914063
38;1952680;1906,914063
41;1952680;1906,914063
43;1952680;1906,914063
44;1952680;1906,914063
44;1952680;1906,914063
45;1952680;1906,914063
45;1952680;1906,914063
45;1952680;1906,914063
47;1952680;1906,914063
47;1952680;1906,914063
49;1952680;1906,914063
50;1952680;1906,914063
52;1952680;1906,914063
55;1952680;1906,914063
56;1952680;1906,914063
57;1952680;1906,914063
62;1952680;1906,914063
62;1952680;1906,914063
65;1952680;1906,914063
67;1952680;1906,914063
69;1952680;1906,914063
70;1952680;1906,914063
70;1952680;1906,914063
76;1952680;1906,914063
77;1952680;1906,914063
78;1952680;1906,914063
78;1952680;1906,914063
79;1952680;1906,914063
79;1952680;1906,914063
79;1952680;1906,914063
83;1952680;1906,914063
83;1952680;1906,914063
83;1952680;1906,914063
84;1952680;1906,914063
84;1952680;1906,914063
87;1952680;1906,914063
87;1952680;1906,914063
88;1952680;1906,914063
88;1952680;1906,914063
92;1952680;1906,914063
96;1952680;1906,914063
97;1952680;1906,914063
102;1952680;1906,914063
103;1952680;1906,914063
107;1952680;1906,914063
107;1952680;1906,914063
111;1952680;1906,914063
112;1952680;1906,914063
115;1952680;1906,914063
115;1952680;1906,914063
118;1952680;1906,914063
119;1952680;1906,914063
122;1952680;1906,914063
131;1952680;1906,914063
137;1952680;1906,914063
138;1952680;1906,914063
138;1952680;1906,914063
141;1952680;1906,914063
146;1952680;1906,914063
148;1952680;1906,914063
150;1952680;1906,914063
151;1952680;1906,914063
154;1952680;1906,914063
156;1952680;1906,914063
159;1952680;1906,914063
159;1952680;1906,914063
163;1952680;1906,914063
166;1952680;1906,914063
167;1952680;1906,914063
171;1952680;1906,914063
175;1952680;1906,914063
183;1952680;1906,914063
185;1952680;1906,914063
187;1952680;1906,914063
187;1952680;1906,914063
195;1952680;1906,914063
196;1952680;1906,914063
237;1952680;1906,914063
243;1952680;1906,914063
243;1952680;1906,914063
244;1952680;1906,914063
251;1952680;1906,914063
261;1952680;1906,914063
280;1952680;1906,914063
293;1952680;1906,914063
295;1952680;1906,914063
303;1952680;1906,914063
303;1952680;1906,914063
303;1952680;1906,914063
303;1952680;1906,914063
